location,gw_trend_m_per_yr,mean_et,mean_precip,et_precip_ratio
Arizona (Willcox Basin),2.4605691220440806,257.2312469482422,325.5871,0.7900535653461043
Butler Valley,1.9093007251663685,162.34630870819092,212.05838,0.7655736529299099
Cuyama,0.4274766526315671,184.11513157894737,354.0742,0.5199902667236795
Hualapai Valley Basin,1.5648962678570344,115.44711049397786,247.65245,0.4661658313181025
McMulllen Valley,0.4287934896167215,91.5884067217509,258.49927,0.3543081865563529
Nevada (Amargosa),0.281753264822131,64.27391267859417,247.86638,0.25930871703482733
San Simon Valley,2.3538143388344315,249.39518864949545,328.70966,0.7587096523574036
Southern Willcox Basin,0.44989992366405823,173.82817840576172,333.32635,0.521495452755145
