year_value,site_id,depth_to_gw_ft,depth_to_gw_m,year_type_id,metric_id,Aq_type,trend_type,POI_type_ID,latitude,longitude,location_name,data_source,bbox_side,open_et_version,scaled_annual_et_avg
2005,USGS.415754112551301,198.19,60.408312,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,486.731
2006,USGS.415754112551301,198.0,60.3504,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,315.923
2007,USGS.415754112551301,183.27,55.860696,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,349.701
2008,USGS.415754112551301,184.42,56.211216,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,266.295
2009,USGS.415754112551301,186.38,56.808624,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,538.22
2010,USGS.415754112551301,186.67,56.897016,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,518.886
2011,USGS.415754112551301,188.46,57.442608,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,658.421
2012,USGS.415754112551301,188.67,57.506616,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,520.605
2013,USGS.415754112551301,195.23,59.506104,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,546.672
2014,USGS.415754112551301,222.43,67.796664,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,540.86
2015,USGS.415754112551301,211.43,64.443864,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,633.647
2016,USGS.415754112551301,196.41,59.865768,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,678.108
2017,USGS.415754112551301,190.12,57.948576,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,604.602
2018,USGS.415754112551301,187.61,57.183528,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,611.467
2019,USGS.415754112551301,191.09,58.244232,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.0,637.361
2020,USGS.415754112551301,202.34,61.673232,water,mean,unconfined,annual mean,2000.0,41.96492,-112.9211,,USGS,1,2.1,642.953
2000,USGS.433218112191601,581.682,177.2966736,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,463.263
2001,USGS.433218112191601,582.6075,177.578766,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,368.942
2002,USGS.433218112191601,586.7775,178.849782,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,427.863
2003,USGS.433218112191601,590.0025,179.832762,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,357.344
2004,USGS.433218112191601,592.18,180.496464,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,409.865
2005,USGS.433218112191601,591.94,180.423312,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,390.537
2006,USGS.433218112191601,590.7675,180.065934,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,433.276
2007,USGS.433218112191601,589.935,179.812188,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,426.139
2008,USGS.433218112191601,591.225,180.20538,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,374.807
2009,USGS.433218112191601,592.4425,180.576474,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,420.065
2010,USGS.433218112191601,591.9475,180.425598,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,392.376
2011,USGS.433218112191601,591.5075,180.291486,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,425.183
2012,USGS.433218112191601,591.4875,180.28539,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,418.58
2013,USGS.433218112191601,592.0425,180.454554,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,415.408
2014,USGS.433218112191601,593.6225,180.936138,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,425.045
2015,USGS.433218112191601,593.775,180.98262,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,375.198
2016,USGS.433218112191601,594.805,181.296564,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,450.896
2017,USGS.433218112191601,594.905,181.327044,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,461.158
2018,USGS.433218112191601,593.96,181.039008,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,511.216
2019,USGS.433218112191601,593.7625,180.97881,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.0,516.554
2020,USGS.433218112191601,594.045,181.064916,water,mean,unconfined,annual mean,2000.0,43.53824,-112.3219,,USGS,1,2.1,515.356
2000,USGS.434102112180701,412.02,125.583696,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,616.787
2001,USGS.434102112180701,412.8657143,125.8414697,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,368.253
2002,USGS.434102112180701,417.9014286,127.3763554,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,562.057
2003,USGS.434102112180701,421.4628571,128.4618788,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,599.539
2004,USGS.434102112180701,424.67,129.439416,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,557.084
2005,USGS.434102112180701,424.765,129.468372,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,521.623
2006,USGS.434102112180701,424.0483333,129.249932,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,524.788
2007,USGS.434102112180701,421.4271429,128.4509932,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,508.788
2008,USGS.434102112180701,425.52,129.698496,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,399.16
2009,USGS.434102112180701,426.41,129.969768,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,565.221
2010,USGS.434102112180701,423.7766667,129.167128,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,522.767
2011,USGS.434102112180701,423.7628571,129.1629188,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,566.147
2012,USGS.434102112180701,423.9057143,129.2064617,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,484.525
2013,USGS.434102112180701,423.7,129.14376,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,522.078
2014,USGS.434102112180701,427.3485714,130.2558446,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,663.618
2015,USGS.434102112180701,427.5183333,130.307588,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,678.102
2016,USGS.434102112180701,427.774,130.3855152,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,676.001
2017,USGS.434102112180701,427.2,130.21056,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,667.214
2018,USGS.434102112180701,425.18,129.594864,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,727.571
2019,USGS.434102112180701,425.36,129.649728,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.0,677.071
2020,USGS.434102112180701,425.61,129.725928,water,mean,unconfined,annual mean,2000.0,43.68389,-112.3028,,USGS,1,2.1,730.884
2000,USGS.434657112282201,260.81,79.494888,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,313.492
2001,USGS.434657112282201,262.2325,79.928466,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,260.273
2002,USGS.434657112282201,265.345,80.877156,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,285.134
2003,USGS.434657112282201,269.5475,82.158078,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,398.778
2004,USGS.434657112282201,272.035,82.916268,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,301.843
2005,USGS.434657112282201,273.0125,83.21421,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,345.123
2006,USGS.434657112282201,273.405,83.333844,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,381.972
2007,USGS.434657112282201,272.215,82.971132,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,353.44
2008,USGS.434657112282201,273.22,83.277456,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,311.869
2009,USGS.434657112282201,274.25,83.5914,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,419.841
2010,USGS.434657112282201,273.045,83.224116,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,407.212
2011,USGS.434657112282201,273.4275,83.340702,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,407.594
2012,USGS.434657112282201,273.6275,83.401662,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,275.177
2013,USGS.434657112282201,273.9125,83.48853,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,263.251
2014,USGS.434657112282201,277.73,84.652104,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,385.987
2015,USGS.434657112282201,276.7369231,84.34941416,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,383.367
2016,USGS.434657112282201,277.1083333,84.46261999,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,329.707
2017,USGS.434657112282201,277.7875,84.66963,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,475.015
2018,USGS.434657112282201,276.1875,84.18195,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,425.007
2019,USGS.434657112282201,275.81,84.066888,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.0,335.027
2020,USGS.434657112282201,276.1,84.15528,water,mean,unconfined,annual mean,2000.0,43.78211,-112.4735,,USGS,1,2.1,403.549
2000,USSCS.352158090232301,31.06,9.467088,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,775.241
2001,USSCS.352158090232301,32.0,9.7536,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,847.193
2002,USSCS.352158090232301,33.44,10.192512,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,732.822
2003,USSCS.352158090232301,32.33333333,9.855199999,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,780.559
2004,USSCS.352158090232301,31.93666667,9.734296001,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,788.128
2005,USSCS.352158090232301,32.26666667,9.834880001,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,828.989
2006,USSCS.352158090232301,32.06666667,9.773920001,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,841.043
2007,USSCS.352158090232301,33.05,10.07364,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,838.802
2008,USSCS.352158090232301,33.55333333,10.227056,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,876.315
2009,USSCS.352158090232301,34.5,10.5156,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,821.001
2010,USSCS.352158090232301,33.83,10.311384,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,826.141
2011,USSCS.352158090232301,34.3,10.45464,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,751.675
2012,USSCS.352158090232301,33.2,10.11936,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,946.047
2013,USSCS.352158090232301,34.95,10.65276,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,872.454
2014,USSCS.352158090232301,34.59,10.543032,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,860.283
2015,USSCS.352158090232301,33.9,10.33272,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,799.421
2016,USSCS.352158090232301,33.89,10.329672,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,793.001
2017,USSCS.352158090232301,33.73,10.280904,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,808.997
2018,USSCS.352158090232301,33.3,10.14984,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,872.695
2019,USSCS.352158090232301,32.96,10.046208,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.0,884.43
2020,USSCS.352158090232301,32.19,9.811512,water,mean,unconfined,annual mean,2000.0,35.36662,-90.39071,,USGS,1,2.1,772.297
2000,USSCS.355018090512401,68.15,20.77212,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,867.556
2001,USSCS.355018090512401,69.6,21.21408,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,755.308
2002,USSCS.355018090512401,70.6,21.51888,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,844.213
2003,USSCS.355018090512401,72.55,22.11324,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,775.058
2004,USSCS.355018090512401,72.1,21.97608,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,814.254
2005,USSCS.355018090512401,72.65,22.14372,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,788.219
2006,USSCS.355018090512401,76.1,23.19528,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,870.555
2007,USSCS.355018090512401,78.25,23.8506,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,815.763
2008,USSCS.355018090512401,77.9,23.74392,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,858.899
2009,USSCS.355018090512401,77.5,23.622,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,750.75
2010,USSCS.355018090512401,76.0,23.1648,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,884.151
2011,USSCS.355018090512401,76.8,23.40864,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,789.801
2012,USSCS.355018090512401,79.5,24.2316,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,917.573
2013,USSCS.355018090512401,78.7,23.98776,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,855.215
2014,USSCS.355018090512401,76.5,23.3172,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,885.81
2015,USSCS.355018090512401,75.0,22.86,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,831.414
2016,USSCS.355018090512401,81.0,24.6888,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,835.988
2017,USSCS.355018090512401,82.125,25.0317,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,781.731
2018,USSCS.355018090512401,81.66,24.889968,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,904.752
2019,USSCS.355018090512401,84.0,25.6032,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.0,814.239
2020,USSCS.355018090512401,79.715,24.297132,water,mean,unconfined,annual mean,2000.0,35.83535,-90.85817,,USGS,1,2.1,788.374
2000,amargosa,128.5000041,39.1668,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,60.622
2001,amargosa,128.4700041,39.157656,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,44.74
2002,amargosa,129.7400042,39.544752,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,51.233
2003,amargosa,132.7600042,40.465248,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,85.438
2004,amargosa,134.8450043,41.100756,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,80.7
2005,amargosa,136.5200044,41.611296,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,86.66
2006,amargosa,138.2900044,42.150792,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,29.926
2007,amargosa,140.9850045,42.972228,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,70.379
2008,amargosa,143.0000046,43.5864,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,45.153
2009,amargosa,143.6400046,43.781472,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,41.834
2010,amargosa,144.4100046,44.016168,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,62.501
2011,amargosa,144.0200046,43.897296,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,52.407
2012,amargosa,144.9400046,44.177712,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,58.621
2013,amargosa,146.1300047,44.540424,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,61.098
2014,amargosa,146.5900047,44.680632,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,74.357
2015,amargosa,147.1900047,44.863512,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,84.829
2016,amargosa,147.3650047,44.916852,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,100.962
2017,amargosa,148.2150047,45.175932,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,68.612
2018,amargosa,147.3300047,44.906184,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,72.196
2019,amargosa,147.0400047,44.817792,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.0,70.304
2020,amargosa,147.8100047,45.052488,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.1,72.901
2021,amargosa,147.6850047,45.014388,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.1,41.626
2022,amargosa,148.7200048,45.329856,,,,,,36.55634,-116.496,Nevada (Amargosa),Jasechko,1,2.1,51.262
2002,butler_valley,199.8000064,60.89904,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1083.761
2003,butler_valley,206.0000066,62.7888,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1172.162
2004,butler_valley,198.2000063,60.41136,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,685.019
2005,butler_valley,209.4000067,63.82512,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1171.729
2007,butler_valley,214.4000069,65.34912,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1362.269
2008,butler_valley,212.2000068,64.67856,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1237.843
2009,butler_valley,211.1000068,64.34328,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,922.797
2010,butler_valley,207.6000066,63.27648,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,763.354
2013,butler_valley,219.750007,66.9798,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1279.013
2014,butler_valley,228.9000073,69.76872,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1217.526
2016,butler_valley,250.700008,76.41336,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.0,1160.069
2020,butler_valley,306.3000098,93.36024,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.1,1364.09
2021,butler_valley,318.4000102,97.04832,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.1,1422.976
2022,butler_valley,320.5000103,97.6884,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.1,1390.637
2023,butler_valley,331.0000106,100.8888,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.1,1515.831
2024,butler_valley,310.3000099,94.57944,,,,,,33.95808,-113.784,Butler Valley,Jasechko,1,2.1,390.047
2000,cuyama,307.2500098,93.6498,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,217.712
2001,cuyama,307.4000098,93.69552,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,200.797
2002,cuyama,308.1800099,93.933264,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,103.353
2003,cuyama,308.6500099,94.07652,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,246.347
2004,cuyama,309.8000099,94.42704,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,160.007
2005,cuyama,311.24001,94.865952,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,259.464
2006,cuyama,311.99001,95.094552,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,188.069
2007,cuyama,314.5600101,95.877888,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,86.37
2008,cuyama,316.9500101,96.60636,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,103.677
2009,cuyama,318.7550102,97.156524,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,128.124
2010,cuyama,319.2450102,97.305876,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,248.091
2011,cuyama,321.1850103,97.897188,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,160.652
2012,cuyama,322.4500103,98.28276,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,127.978
2013,cuyama,324.3400104,98.858832,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,111.243
2014,cuyama,324.8000104,98.99904,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,84.756
2015,cuyama,326.5400104,99.529392,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,241.032
2016,cuyama,327.6100105,99.855528,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,244.473
2017,cuyama,329.4000105,100.40112,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,263.624
2018,cuyama,330.1100106,100.617528,,,,,,34.89025548,-119.6165171,Cuyama,Jasechko,1,2.0,133.133
2007,hualapai_valley,360.0000115,109.728,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.0,116.054
2014,hualapai_valley,440.0000141,134.112,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.0,223.157
2018,hualapai_valley,456.2798702,139.0741,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.0,484.065
2019,hualapai_valley,454.740172,138.6048,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.0,422.098
2020,hualapai_valley,454.0498833,138.3944,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.1,372.558
2021,hualapai_valley,453.3051326,138.1674,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.1,295.417
2022,hualapai_valley,454.1499489,138.4249,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.1,221.01
2023,hualapai_valley,453.7500145,138.303,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.1,470.658
2024,hualapai_valley,452.3999489,137.8915,,,,,,35.47122,-113.976,Hualapai Valley Basin,Jasechko,1,2.1,172.425
2000,mcmullen_valley,615.0000197,187.452,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,224.61
2001,mcmullen_valley,615.1000853,187.4825,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,374.717
2003,mcmullen_valley,617.2598623,188.1408,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,307.005
2004,mcmullen_valley,618.6000854,188.5493,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,200.278
2005,mcmullen_valley,620.2998886,189.0674,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,525.355
2006,mcmullen_valley,623.0000199,189.8904,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,285.511
2007,mcmullen_valley,624.7001512,190.4086,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,203.72
2008,mcmullen_valley,626.00002,190.8048,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,300.475
2009,mcmullen_valley,627.6000857,191.2925,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,273.603
2010,mcmullen_valley,628.7001514,191.6278,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,311.482
2011,mcmullen_valley,629.6000858,191.9021,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,133.641
2012,mcmullen_valley,630.7001514,192.2374,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,239.001
2013,mcmullen_valley,631.5000202,192.4812,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,342.184
2014,mcmullen_valley,632.8999546,192.9079,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,316.529
2015,mcmullen_valley,634.2001515,193.3042,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,320.626
2016,mcmullen_valley,635.1000859,193.5785,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,234.526
2017,mcmullen_valley,636.8999548,194.1271,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,363.828
2018,mcmullen_valley,637.600086,194.3405,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,300.029
2019,mcmullen_valley,639.6000861,194.9501,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.0,336.09
2020,mcmullen_valley,641.1000861,195.4073,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.1,468.879
2021,mcmullen_valley,650.8999552,198.3943,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.1,218.347
2022,mcmullen_valley,644.1000862,196.3217,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.1,360.792
2023,mcmullen_valley,645.2998894,196.6874,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.1,411.879
2024,mcmullen_valley,647.5000207,197.358,,,,,,33.95725,-113.08,McMulllen Valley,Jasechko,1,2.1,329.633
